index	prediction
23	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Comparator Group']
24	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Study Drug(s)', 'Has Population Size']
25	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Population Size']
26	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Study Drug(s)', 'Has Population Size']
27	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
28	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size']
29	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size']
30	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size']
31	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
32	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size']
33	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Comparator Group']
34	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
35	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size']
36	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size']
37	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
38	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
39	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Study Drug(s)', 'Has Population Size']
40	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Comparator Group']
41	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Study Drug(s)', 'Has Population Size']
42	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
43	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Study Drug(s)']
44	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
45	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size']
46	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size']
47	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
48	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size']
49	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size']
50	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Study Drug(s)', 'Has Population Size']
51	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
52	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size']
53	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
54	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
55	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
56	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Study Drug(s)', 'Has Population Size']
57	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size']
58	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
59	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size']
60	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size']
61	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
62	['Aggregate', 'Has Target Disease', 'Has Study Drug(s)']
63	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Population Size']
64	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size']
65	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)']
66	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
67	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size']
68	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size']
69	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size']
70	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size']
71	['Aggregate', 'Has Human Subjects', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
72	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Study Drug(s)', 'Has Population Size']
73	['Aggregate', 'Has Human Subjects', 'Cohort Study or Clinical Trial', 'Has Study Drug(s)', 'Has Population Size']
74	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
75	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Study Drug(s)', 'Has Comparator Group']
76	['Aggregate', 'Has Target Disease', 'Has Quantitative Outcome Measure', 'Has Population Size']
77	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
78	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size']
79	['Aggregate', 'Has Target Disease', 'Has Study Drug(s)']
80	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
81	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
82	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Study Drug(s)', 'Has Population Size']
83	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
84	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
85	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
86	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
87	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size']
88	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size']
89	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size']
90	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
91	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
92	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Study Drug(s)', 'Has Population Size']
93	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)']
94	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
95	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
96	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
97	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Study Drug(s)', 'Has Population Size']
98	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
99	['Aggregate', 'Has Target Disease', 'Has Study Drug(s)']
100	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Study Drug(s)', 'Has Population Size']
101	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size']
102	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size']
103	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Study Drug(s)', 'Has Comparator Group']
104	['Aggregate', 'Has Human Subjects', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
105	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
106	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
107	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
108	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size']
109	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
110	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size']
111	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Population Size']
112	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
113	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
114	['Aggregate', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Study Drug(s)', 'Has Comparator Group']
115	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
116	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size']
117	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
118	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size']
119	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Study Drug(s)', 'Has Population Size']
120	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size']
121	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Study Drug(s)', 'Has Comparator Group']
122	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
123	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Population Size', 'Has Comparator Group']
124	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Study Drug(s)', 'Has Comparator Group']
125	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Study Drug(s)', 'Has Population Size']
126	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
127	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Study Drug(s)', 'Has Population Size']
128	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
129	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
130	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Study Drug(s)', 'Has Comparator Group']
131	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Population Size']
132	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size']
133	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size']
134	['Aggregate', 'Has Target Disease', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size']
135	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
136	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size']
137	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Has Study Drug(s)', 'Has Population Size']
138	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
139	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Comparator Group']
140	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
141	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size']
142	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
143	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Study Drug(s)', 'Has Population Size']
144	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size']
145	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size']
146	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Has Population Size']
147	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
148	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size']
149	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size']
150	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
151	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Study Drug(s)', 'Has Comparator Group']
152	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
153	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Study Drug(s)', 'Has Population Size']
154	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size']
155	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size']
156	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
157	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
158	['Aggregate', 'Has Target Disease', 'Has Study Drug(s)']
159	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Study Drug(s)']
160	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
161	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size']
162	['Aggregate', 'Has Target Disease', 'Has Study Drug(s)']
163	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size']
164	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size']
165	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
166	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Cohort Study or Clinical Trial', 'Has Study Drug(s)', 'Has Population Size', 'Has Comparator Group']
167	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size']
168	['Aggregate', 'Has Human Subjects', 'Has Target Disease', 'Has Quantitative Outcome Measure', 'Has Study Drug(s)', 'Has Population Size']
